,event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
0,shot,be76791e-ddde-4814-9af2-51435b504b33,44,1,00:01:37.689,1,37,5,Chelsea LFC,Regular Play,False,Chelsea LFC,Erin Cuthbert,Center Attacking Midfield,0.069232,,0.012327847,8806b967-ebbe-4e06-9611-71d062cba5bd,Right Foot,Open Play,Blocked,Normal,True,,,,,,85.0,30.0,88.0,31.0,
1,shot,dc22d90c-9fb4-4376-aa2a-975918e5b554,359,1,00:13:06.405,13,6,28,Chelsea LFC,From Corner,False,Chelsea LFC,Magdalena Ericsson,Left Center Back,0.91497,,0.041555386,2ab6f713-6a1b-48fa-92ad-7a5aa4d27c29,Head,Open Play,Off T,Normal,True,,,,,,115.0,32.0,120.0,45.6,1.3
2,shot,dd0027d6-0bba-4c2c-8f70-d336737ef1ff,371,1,00:13:36.645,13,36,29,West Ham United LFC,From Goal Kick,False,West Ham United LFC,Alisha Lehmann,Right Center Forward,2.955827,,0.0371214,bb94d78f-9c98-4193-adc2-4445568e3d42,Right Foot,Open Play,Wayward,Normal,,,,,,,109.0,21.0,117.0,65.0,
3,shot,80c97350-d5e8-44c0-a2f2-93ca1085ff58,388,1,00:14:01.505,14,1,30,Chelsea LFC,Regular Play,False,Chelsea LFC,Francesca Kirby,Center Forward,0.322,,0.33184934,0e059e2b-29a9-4d34-a406-34c2abecef9a,Right Foot,Open Play,Saved,Normal,,,,True,,,107.0,44.0,114.0,39.5,0.5
4,shot,c3decc71-9395-4ab0-b85f-40e13bbc619b,649,1,00:23:18.653,23,18,47,Chelsea LFC,From Free Kick,False,Chelsea LFC,Hannah Jayne Blundell,Right Back,0.5151,,0.09876934,b7927e6d-bd65-485a-b8e6-a3adeee499a4,Left Foot,Open Play,Saved,Normal,True,,,,,,104.0,45.0,117.0,39.8,1.7
5,shot,e269b64d-46f3-4ccb-beb0-418cddd32ae1,800,1,00:28:25.555,28,25,59,Chelsea LFC,From Counter,False,Chelsea LFC,Drew Spence,Left Center Midfield,0.407916,,0.10157865,18a82257-f5e2-4a23-8630-a19c9f7a41ed,Left Foot,Open Play,Blocked,Normal,True,,,,,,102.0,36.0,111.0,34.0,
6,shot,0b4980a5-6b21-49ac-aa3a-74d22810feba,805,1,00:28:28.834,28,28,59,Chelsea LFC,From Counter,False,Chelsea LFC,Francesca Kirby,Center Forward,0.4057,,0.030594384,,Right Foot,Open Play,Blocked,Normal,,,,,,,104.0,34.0,109.0,33.0,
7,shot,12718485-88d0-4fae-a530-47adaadfc770,811,1,00:29:24.800,29,24,60,Chelsea LFC,From Free Kick,False,Chelsea LFC,Erin Cuthbert,Center Attacking Midfield,0.5819,,0.056075454,,Right Foot,Free Kick,Blocked,Normal,,,,,,,95.0,32.0,107.0,33.0,
8,shot,ce3b0921-a647-4951-aa1c-c5b0733ea9a1,1115,1,00:40:22.869,40,22,88,Chelsea LFC,From Corner,False,Chelsea LFC,Bethany England,Left Wing,0.823,,0.03164677,f464387a-59f8-4753-b849-eab8e577ae89,Right Foot,Open Play,Saved,Half Volley,,,,,,,105.0,46.0,119.0,43.5,0.4
9,shot,5c1a9dc2-a9d1-4f51-a45b-4e4311bf64fa,1409,2,00:07:11.780,52,11,114,Chelsea LFC,Regular Play,False,Chelsea LFC,Erin Cuthbert,Center Attacking Midfield,1.0327,,0.020845653,ce466fd6-92f2-4c04-a654-0abbde3fd8c2,Right Foot,Open Play,Off T,Normal,,,,,,,99.0,56.0,120.0,40.2,3.1
