play_pattern,under_pressure,body_part,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,assisted,distance,angle,duration,goal
Regular Play,0,foot,Normal,1,0,0,0,0,0,1,36.40054944640259,15.945395900922856,0.069232,0
From Corner,0,head,Normal,1,0,0,0,0,0,1,9.433981132056603,57.994616791916506,0.91497,0
From Goal Kick,0,foot,Normal,0,0,0,0,0,0,1,21.95449840010015,59.93141717813756,2.955827,0
Regular Play,0,foot,Normal,0,0,0,1,0,0,1,13.601470508735444,17.102728969052375,0.322,0
From Free Kick,0,foot,Normal,1,0,0,0,0,0,1,16.76305461424021,17.35402463626132,0.5151,0
From Counter,0,foot,Normal,1,0,0,0,0,0,1,18.439088914585774,12.528807709151511,0.407916,0
From Counter,0,foot,Normal,0,0,0,0,0,0,0,17.08800749063506,20.556045219583464,0.4057,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,26.248809496813372,17.744671625056935,0.5819,0
From Corner,0,foot,Half Volley,0,0,0,0,0,0,1,16.15549442140351,21.801409486351808,0.823,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,26.40075756488817,37.30394827798342,1.0327,0
From Corner,0,foot,Normal,0,0,0,0,0,0,0,24.186773244895647,7.125016348901798,0.686264,0
Regular Play,0,foot,Half Volley,0,0,1,0,0,0,0,21.02379604162864,2.726310993906265,0.451222,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,15.811388300841895,18.434948822922014,0.617104,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,9.899494936611664,45.0,2.169112,0
From Goal Kick,0,foot,Normal,0,0,0,0,0,0,1,19.104973174542803,6.009005957494526,0.3543,0
From Goal Kick,0,foot,Normal,0,1,0,0,0,0,0,11.401754250991381,52.125016348901795,0.7267,0
From Goal Kick,0,foot,Normal,0,0,0,0,0,0,0,6.708203932499369,63.43494882292201,0.215982,1
From Throw In,0,foot,Normal,0,0,0,0,0,0,1,25.238858928247925,33.690067525979785,0.946525,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,14.866068747318506,47.72631099390627,1.626972,1
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,29.0,43.602818972703616,2.03585,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,0,29.206163733020468,38.047042531826094,2.013747,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,1,13.601470508735444,53.972626614896406,0.3126,0
From Goal Kick,0,foot,Normal,0,0,0,1,0,0,1,8.06225774829855,60.25511870305778,1.2720209999999998,1
From Corner,0,head,Normal,0,0,0,0,0,0,1,7.211102550927977,33.690067525979785,0.582495,0
From Free Kick,0,head,Normal,0,0,0,0,0,0,1,18.788294228055932,25.201123645475068,1.162418,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,57.0350769263968,2.0095538130211392,2.446928,0
From Free Kick,0,foot,Normal,0,1,0,1,0,0,1,14.560219778561034,74.05460409907715,0.431176,0
From Throw In,1,foot,Normal,0,0,0,0,0,0,1,26.47640458974745,10.885527054658738,2.033973,0
From Free Kick,0,foot,Volley,0,0,0,0,0,0,1,14.422205101855955,33.690067525979785,1.540428,0
From Keeper,0,foot,Normal,0,0,0,0,0,0,1,21.93171219946131,43.1523897340054,0.688346,0
