duration,follows_50/50,follows_ball_recovery,follows_block,follows_clearance,follows_dispossessed,follows_dribble,follows_duel,follows_error,follows_goalkeeper,follows_interception,follows_miscontrol,follows_pass,pass_aerial_won,pass_angle,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_height_name,pass_length,pass_switch,pass_through_ball,play_pattern_name,shot_aerial_won,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,build_up_duration,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,pass_angle_na,pass_length_na,distance_to_nearest_opponent_na
1.9795639999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,1,0,9.899494936611665,0.7853981633974483,9.586011,1,28.0,0,3.1622776601683795,True,True,False
0.0911,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Goal Kick,0,head,0,0,0,Normal,0,0,8.602325267042627,0.6202494859828215,8.001138000000001,0,28.0,0,7.810249675906654,True,True,False
1.4563700000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,25.709920264364882,0.23554498072086333,7.802849,0,100.0,1,10.770329614269007,True,True,False
1.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Goal Kick,0,foot,0,0,0,Normal,0,0,25.96150997149434,0.2730087030867106,13.025000000000002,0,100.0,1,4.47213595499958,True,True,False
0.694403,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Half Volley,1,0,14.7648230602334,0.4939413689195812,10.572648,0,52.0,1,3.1622776601683795,True,True,False
1.4268,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,26.870057685088806,0.7853981633974483,0.0,1,76.0,1,4.123105625617661,True,True,False
1.452797,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,18.681541692269406,0.27094685033842053,0.0,1,72.0,1,4.242640687119285,True,True,False
0.1262,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,5.830951894845301,0.5404195002705842,0.5049,0,20.0,1,17.4928556845359,True,True,False
1.8476,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Half Volley,1,0,32.2490309931942,0.12435499454676144,2.538736,0,128.0,0,8.54400374531753,True,True,False
0.1387,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,16.76305461424021,0.3028848683749714,22.790874999999996,0,64.0,0,9.486832980505138,True,True,False
1.538,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,24.698178070456937,0.5543074962015513,0.0,1,84.0,0,4.47213595499958,True,True,False
0.203,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Half Volley,0,0,18.601075237738275,0.6327488350021832,6.494999999999999,0,60.0,1,5.0,True,True,False
1.6130000000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,25.632011235952593,0.3587706702705722,9.238999999999999,0,96.0,1,7.0,True,True,False
1.0178,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Half Volley,0,0,27.459060435491963,0.18311081726248413,5.360175,0,108.0,0,6.082762530298219,True,True,False
0.4248,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,31.400636936215164,0.15991312315821926,7.6505339999999995,0,124.0,1,5.385164807134504,True,True,False
0.726,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,18.384776310850235,0.3906070436976868,8.526000000000003,0,68.0,1,7.0710678118654755,True,True,False
0.201,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Normal,0,0,13.92838827718412,0.3671738338182192,6.004,0,52.0,0,9.848857801796104,True,True,False
0.5047,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,36.40054944640259,0.36520144978817304,5.8195,0,136.0,1,6.708203932499369,True,True,False
0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,1,16.64331697709324,0.5713374798336268,0.0,0,56.0,1,14.212670403551895,True,True,False
0.2575,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Normal,0,0,27.294688127912362,0.1470783553884025,1.119858,0,108.0,0,9.055385138137417,True,True,False
0.7654,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Volley,0,0,7.280109889280518,1.2924966677897853,8.377986,0,8.0,1,2.8284271247461903,True,True,False
0.2957,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,17.804493814764857,0.9048270894157868,74.32903299999998,0,44.0,0,13.152946437965905,True,True,False
1.971136,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,29.0,0.7610127542247297,0.0,0,84.0,0,8.48528137423857,True,True,False
2.7913259999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,32.64965543462902,0.4773453823736719,1.2655000000000003,0,116.0,1,12.36931687685298,True,True,False
1.4647860000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,12.806248474865697,0.6747409422235527,0.0,0,40.0,0,7.0710678118654755,True,True,False
1.5984559999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,44.0,0.0,4.757306,0,176.0,0,11.313708498984761,True,True,False
0.1745,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,19.4164878389476,0.6022873461349642,4.707651,1,64.0,1,13.341664064126334,True,True,False
1.587174,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,30.14962686336267,0.09966865249116204,9.1711,0,120.0,1,13.341664064126334,True,True,False
0.575,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,foot,0,0,0,Normal,0,0,23.259406699226016,0.4444192099010989,19.916,0,84.0,0,9.433981132056603,True,True,False
0.6668,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Volley,0,0,25.495097567963924,0.44610554894340365,24.406203,0,92.0,2,11.661903789690601,True,True,False
0.2129,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,11.704699910719626,0.348771003583907,24.860103,0,44.0,0,9.0,True,True,False
0.8295,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,1,0,Normal,0,1,14.422205101855956,0.982793723247329,4.541027,1,32.0,0,15.0,True,True,False
1.6567060000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Normal,0,0,19.6468827043885,0.25732371497108864,0.0,0,76.0,0,5.830951894845301,True,True,False
1.111169,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,12.083045973594572,0.4266274931268761,16.892542,0,44.0,0,13.0,True,True,False
0.507,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,1,0,Normal,0,0,12.529964086141668,1.0714496051147666,0.0,0,24.0,0,18.110770276274835,True,True,False
0.2256,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,26.476404589747453,0.18998828791871572,2.130492,0,104.0,1,5.0990195135927845,True,True,False
0.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,10.816653826391969,0.5880026035475675,10.586,0,36.0,1,3.605551275463989,True,True,False
2.282877,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Normal,0,0,27.313000567495326,0.41450687458478597,9.260396,0,100.0,1,5.385164807134504,True,True,False
1.147,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Normal,0,0,36.49657518178932,0.16514867741462683,0.0,0,144.0,1,19.235384061671343,True,True,False
1.173,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,25.019992006393608,0.039978687123290044,0.0,0,100.0,1,3.0,True,True,False
1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,28.861739379323623,0.24497866312686414,7.758999999999999,1,112.0,1,8.06225774829855,True,True,False
0.653,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,1,1,0,Normal,0,1,8.06225774829855,1.0516502125483738,8.345999999999998,1,16.0,0,9.848857801796104,True,True,False
0.6117,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,25.942243542145693,0.4808872801953358,0.0,0,92.0,0,7.0710678118654755,True,True,False
0.4057,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,foot,0,0,0,Normal,0,0,17.08800749063506,0.3587706702705722,9.080155000000001,0,64.0,0,7.0710678118654755,True,True,False
1.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Normal,0,0,25.632011235952593,0.3587706702705722,5.274000000000001,0,96.0,0,10.44030650891055,True,True,False
0.911106,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Volley,0,0,24.596747752497688,0.4636476090008061,0.0,0,88.0,0,16.76305461424021,True,True,False
2.661981,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,1,0,27.85677655436824,0.3671738338182192,0.0,0,104.0,1,6.708203932499369,True,True,False
0.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,1,0,0,Normal,0,0,18.24828759089466,0.16514867741462683,6.973000000000001,1,72.0,1,3.1622776601683795,True,True,False
0.3915,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,30.083217912982647,0.3743336160075839,6.8521540000000005,1,112.0,1,3.0,True,True,False
